cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,outdoor_temperature,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,3.0060942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.0060942,0.0,0.4247888,0.4247888,0.4247888,0.0,0.4247888,0.4247888,0.4247888,-0.0,8.9,18.867134,18.88889,18.88889,2.0
0.0,2.9181454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.9181454,0.0,0.4057807,0.4057807,0.4057807,0.0,0.4057807,0.4057807,0.4057807,-0.0,8.3,18.888659,18.88889,18.88889,2.0
0.0,2.8906353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.8906353,0.0,0.40127003,0.40127003,0.40127003,0.0,0.40127003,0.40127003,0.40127003,-0.0,8.3,18.88887,18.88889,18.88889,2.0
0.0,2.928948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.928948,0.0,0.40161616,0.40161616,0.40161616,0.0,0.40161616,0.40161616,0.40161616,-0.0,7.2,18.888887,18.88889,18.88889,2.0
0.0,2.9719005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.9719005,0.0,0.42079672,0.42079672,0.42079672,0.0,0.42079672,0.42079672,0.42079672,-0.0,6.95,18.88889,18.88889,18.88889,2.0
0.0,3.0288408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.0288408,0.0,0.45650008,0.45650008,0.45650008,0.0,0.45650008,0.45650008,0.45650008,-0.0,6.7,18.88889,18.88889,18.88889,2.0
0.0,2.9086242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.9086242,0.0,0.5189465,0.5189465,0.5189465,0.0,0.5189465,0.5189465,0.5189465,-0.0,8.33,18.88889,18.88889,18.88889,2.0
0.0,3.7882905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.7882903,0.0,0.61453795,0.61453795,0.61453795,0.0,0.61453795,0.61453795,0.61453795,-0.0,4.4,18.88889,18.88889,18.88889,2.0
0.0,2.6335888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.6335888,0.0,1.1432062,1.1224469,1.1224469,0.0,1.1224469,1.1432062,1.1432062,-0.020759312,8.89,18.88889,18.88889,18.88889,2.0
0.0,2.204027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.204027,0.0,1.2922682,1.2266691,1.2266691,0.0,1.1200417,1.1856408,1.2922682,-0.06559909,10.0,18.88889,18.88889,18.88889,2.0
0.0,1.5029858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.4142673,0.0,1.3192035,1.2155433,1.2155433,0.0,1.3115294,1.4151896,1.3192035,-0.10366025,10.6,18.88889,18.88889,18.88889,2.0
0.0,0.6513292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.6513292,0.0,1.3000665,1.166448,1.166448,0.0,0.9869828,1.1206013,1.3000665,-0.13361849,11.1,18.88889,18.88889,18.88889,2.0
